rank,customer_id,risk_score,customer_type,country,province,city,gender,marital_status,occupation_code,occupation_title,income,age_years,account_tenure_days,industry_code,industry,employee_count,sales,business_age_days,days_established_to_onboard,revenue_per_employee,income_occupation_flag,is_individual,emt_amt_sum,wire_count,wire_amt_sum,eft_debit_sum,cheque_count,card_foreign_rate,risk_flags,known_fraud
11,SYNID0107505069,0.830062877838226,individual,CA,BC,VICTORIA,MALE,unknown,72310,Carpenters,0.0,27.854893908281998,2307.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,13709.09,1.0,800.55,3174.16,1.0,0.0,has wire transfers; high EMT volume (top 10%),0
12,SYNID0100329378,0.7094530416199891,individual,CA,unknown,other,MALE,Single,UNEMPLOYED,unknown,53487.0,35.60848733744011,3266.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,3460.2,0.0,0.0,1015.5,3.0,0.0,high income for occupation; unemployed,0
13,SYNID0108207202,0.670761154950938,individual,CA,QC,GATINEAU,MALE,Single,STUDENT,unknown,102469.0,43.66872005475702,7097.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,4648.450000000001,0.0,0.0,2204.6400000000003,2.0,0.14285714285714285,high income for occupation; student,0
14,SYNID0104750690,0.5778953068927414,individual,CA,unknown,other,MALE,Unknown,UNEMPLOYED,unknown,52198.0,56.99931553730322,7288.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,high income for occupation; unemployed,0
15,SYNID0200339536,0.5756703821024015,smallbusiness,CA,unknown,other,unknown,unknown,unknown,unknown,0.0,,495.0,Other,unknown,0.0,0.0,572.0,77.0,0.0,0.0,0,1453.33,0.0,0.0,0.0,0.0,0.42857142857142855,30%+ foreign card transactions,0
16,SYNID0105570835,0.5107132758664552,individual,CA,AB,LETHBRIDGE,unknown,Married,10011,Human resources managers,55706.0,30.45311430527036,1627.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,1559.4499999999998,1.0,2301.64,4878.46,0.0,0.0,has wire transfers,0
17,SYNID0106717778,0.4968601693217099,individual,CA,ON,TORONTO,FEMALE,Unknown,STUDENT,unknown,0.0,21.859000684462696,509.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,1.0,7293.86,0.0,0.0,0.34782608695652173,student; has wire transfers; 30%+ foreign card transactions,0
18,SYNID0101163816,0.40171081215312415,individual,CA,AB,EDMONTON,FEMALE,Married,OTHER,unknown,160229.0,61.946611909650926,10499.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,38755.76,0.0,0.0,2033.54,0.0,0.19838056680161945,high EMT volume (top 10%),0
19,SYNID0200143570,0.39277050352600357,smallbusiness,CA,NL,MOUNT PEARL,unknown,unknown,unknown,unknown,0.0,,950.0,7215,Holding Companies,0.0,0.0,1074.0,124.0,0.0,0.0,0,1507.89,0.0,0.0,0.0,0.0,0.0,,0
20,SYNID0104833954,0.3642035216034329,individual,CA,ON,HAMILTON,unknown,unknown,STUDENT,unknown,41752.0,28.65160848733744,4056.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,6200.46,0.0,0.0,3590.88,0.0,0.5,student; 30%+ foreign card transactions,0
21,SYNID0108249774,0.2913223916847735,individual,CA,BC,VERNON,FEMALE,Single,SELF_EMPLOYED,unknown,69247.0,28.427104722792606,2027.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,3539.0,1.0,43.93,2947.63,0.0,0.0,has wire transfers,0
22,SYNID0200890437,0.288235325086989,smallbusiness,CA,ON,ORILLIA,unknown,unknown,unknown,unknown,0.0,,1617.0,7761,Offices of Lawyers and Notaries,1.0,1.0,1680.0,63.0,1.0,0.0,0,0.0,0.0,0.0,0.0,18.0,0.0,high cheque activity (top 10%),0
23,SYNID0200798374,0.26952757921939496,smallbusiness,CA,ON,NORTH YORK,unknown,unknown,unknown,unknown,0.0,,2055.0,4561,General Freight Trucking Industry,1.0,17699.0,2168.0,113.0,17699.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0
24,SYNID0200950641,0.2669673354402879,smallbusiness,CA,AB,CALGARY,unknown,unknown,unknown,unknown,0.0,,507.0,4214,Excavating and Grading,1.0,80650.0,1592.0,1085.0,80650.0,0.0,0,13096.43,0.0,0.0,0.0,0.0,1.0,high EMT volume (top 10%); 30%+ foreign card transactions,0
25,SYNID0106518706,0.2621703928128093,individual,CA,unknown,other,MALE,unknown,UNEMPLOYED,unknown,53091.0,72.99931553730322,11974.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,high income for occupation; unemployed,0
26,SYNID0200163281,0.26069131923541156,smallbusiness,CA,AB,EDMONTON,unknown,unknown,unknown,unknown,0.0,,6727.0,4022,Commercial Building,6.0,1579739.0,6729.0,2.0,263289.8333333333,0.0,0,0.0,0.0,0.0,247694.8,0.0,0.0,onboarded <30 days after business founding; high EFT outflows (top 10%),0
27,SYNID0106574716,0.20994889547024276,individual,CA,unknown,other,FEMALE,Married,STUDENT,unknown,75406.0,31.211498973305954,1743.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,5057.950000000001,0.0,0.0,13903.579999999998,35.0,0.15217391304347827,high income for occupation; student; high EFT outflows (top 10%); high cheque activity (top 10%),0
28,SYNID0106836328,0.20137892810108998,individual,CA,unknown,other,unknown,Single,UNEMPLOYED,unknown,61888.0,59.06091718001369,9799.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,3071.02,0.0,0.0,6303.98,1.0,0.20454545454545456,high income for occupation; unemployed; high EFT outflows (top 10%),0
29,SYNID0200442841,0.17719630787720367,smallbusiness,CA,ON,NORTH YORK,unknown,unknown,unknown,unknown,0.0,,916.0,8652,"Offices of Physicians and Surgeons, Specialists",1.0,0.0,965.0,49.0,0.0,0.0,0,0.0,0.0,0.0,4373.62,0.0,0.0,employees but zero revenue,0
30,SYNID0106825796,0.15349993496017994,individual,CA,ON,MILTON,MALE,Married,RETIRED,unknown,126620.0,71.95071868583162,11778.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,5497.04,2.0,5800.26,10595.42,3.0,0.1513157894736842,has wire transfers; high EFT outflows (top 10%),0
31,SYNID0200018308,0.15349439059204065,smallbusiness,CA,SK,SASKATOON,unknown,unknown,unknown,unknown,0.0,,2102.0,Other,unknown,0.0,118198.0,2331.0,229.0,0.0,0.0,0,7262.17,0.0,0.0,17.56,1.0,0.5555555555555556,30%+ foreign card transactions,0
32,SYNID0200861363,0.1528235945420832,smallbusiness,CA,BC,VANCOUVER,unknown,unknown,unknown,unknown,0.0,,1906.0,9631,Entertainment Production Companies and Artists,1.0,226010.0,1343.0,-563.0,226010.0,0.0,0,3696.64,0.0,0.0,142.69,0.0,0.42424242424242425,onboarded <30 days after business founding; 30%+ foreign card transactions,0
33,SYNID0108682306,0.15246795492158868,individual,CA,AB,EDMONTON,MALE,Unknown,63200,Cooks,46068.0,27.277207392197127,2549.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,30%+ foreign card transactions,0
34,SYNID0107000956,0.14623345382225117,individual,CA,ON,ST CATHARINES,unknown,Single,31202,Physiotherapists,0.0,34.217659137577,1650.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,7131.13,0.0,0.0,824.6700000000001,0.0,0.16393442622950818,,0
35,SYNID0102056629,0.13643560174063205,individual,CA,ON,MISSISSAUGA,unknown,Single,STUDENT,unknown,0.0,20.799452429842574,3599.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,2626.13,0.0,0.0,0.0,0.0,0.5,student; 30%+ foreign card transactions,0
36,SYNID0200018603,0.13497023824869817,smallbusiness,CA,ON,KITCHENER,unknown,unknown,unknown,unknown,0.0,,1029.0,7759,Other Scientific and Technical Services,1.0,28622.0,4465.0,3436.0,28622.0,0.0,0,457.27,0.0,0.0,0.0,0.0,0.38235294117647056,30%+ foreign card transactions,0
37,SYNID0200607748,0.13015047201928065,smallbusiness,CA,ON,TORONTO,unknown,unknown,unknown,unknown,0.0,,10951.0,9861,Civic and Fraternal Organizations,0.0,0.0,10360.0,-591.0,0.0,0.0,0,0.0,0.0,0.0,137275.44,17.0,0.0,onboarded <30 days after business founding; high EFT outflows (top 10%); high cheque activity (top 10%),0
38,SYNID0101759914,0.11875239736828588,individual,CA,ON,NORTH YORK,FEMALE,Single,STUDENT,unknown,0.0,23.397672826830938,1910.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,979.33,0.0,0.0,2549.82,0.0,0.23404255319148937,student,0
39,SYNID0200804387,0.10603282777351147,smallbusiness,CA,BC,BURNABY,unknown,unknown,unknown,unknown,0.0,,4693.0,7215,Holding Companies,0.0,0.0,4764.0,71.0,0.0,0.0,0,0.0,0.0,0.0,4307.75,0.0,0.0,,0
40,SYNID0101538202,0.10556214050434151,individual,CA,ON,BRANTFORD,FEMALE,Single,SELF_EMPLOYED,unknown,59856.0,59.832991101984945,3686.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,5899.700000000001,0.0,0.0,0.0,0.0,0.18867924528301888,,0
41,SYNID0104534105,0.10325222010417352,individual,CA,ON,STONEY CREEK,unknown,Single,STUDENT,unknown,0.0,24.292950034223136,2711.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,7987.37,0.0,0.0,0.0,0.0,0.0,student,0
42,SYNID0200865648,0.09866031739931262,smallbusiness,CA,AB,CALGARY,unknown,unknown,unknown,unknown,0.0,,5611.0,7611,Insurance and Real Estate Agencies,0.0,0.0,5282.0,-329.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,onboarded <30 days after business founding,0
43,SYNID0107956846,0.09724716919242887,individual,CA,ON,CHATHAM,MALE,unknown,OTHER,unknown,125551.0,40.24640657084189,4252.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,11458.84,0.0,0.0,4708.31,0.0,0.1506849315068493,high EMT volume (top 10%),0
44,SYNID0107832828,0.09435671175184464,individual,CA,ON,SCARBOROUGH,MALE,Single,STUDENT,unknown,0.0,20.095824777549623,834.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,24572.16,0.0,0.0,0.0,0.0,0.0,student; high EMT volume (top 10%),1
45,SYNID0200306637,0.09434703086053779,smallbusiness,CA,unknown,other,unknown,unknown,unknown,unknown,0.0,,3152.0,7771,Management Consulting Services,0.0,0.0,3471.0,319.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.0,1.0,30%+ foreign card transactions; high cheque activity (top 10%),0
46,SYNID0102686451,0.08892375816432352,individual,CA,ON,RICHMOND HILL,unknown,Unknown,10019,Other administrative services managers,16.0,36.290212183436005,629.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,3491.8100000000004,3.0,11427.539999999999,4529.45,2.0,0.21921921921921922,has wire transfers,0
47,SYNID0200492497,0.08467277304168698,smallbusiness,CA,ON,BRAMPTON,unknown,unknown,unknown,unknown,0.0,,818.0,Other,unknown,0.0,0.0,926.0,108.0,0.0,0.0,0,341.46,0.0,0.0,0.0,0.0,0.0,,0
48,SYNID0109305223,0.08340920481418831,individual,CA,AB,FORT MCMURRAY,FEMALE,unknown,85110,Mine labourers,71030.0,34.76796714579056,4280.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,1636.06,0.0,0.0,3714.02,0.0,1.0,30%+ foreign card transactions,0
49,SYNID0105239761,0.08035423033393287,individual,CA,ON,OAKVILLE,MALE,Single,313,Nursing and allied health professionals,0.0,25.749486652977414,1951.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,2798.66,0.0,0.0,2569.0099999999998,0.0,0.34615384615384615,30%+ foreign card transactions,0
50,SYNID0103983894,0.07288266711291268,individual,CA,ON,SCARBOROUGH,FEMALE,Married,64409,Other customer and information services representatives,0.0,46.07529089664613,,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,500.74,3.0,2640.97,390.04999999999995,1.0,0.18181818181818182,has wire transfers,0
51,SYNID0104498692,0.07193820329744585,individual,CA,ON,KITCHENER,unknown,Single,SELF_EMPLOYED,unknown,58402.0,30.373716632443532,2392.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,13444.64,0.0,0.0,3878.46,0.0,0.2222222222222222,high EMT volume (top 10%),0
52,SYNID0200810872,0.0707045433842213,smallbusiness,CA,unknown,other,unknown,unknown,unknown,unknown,0.0,,6427.0,4499,Other Services Incidental to Construction n.e.c.,2.0,133625.0,6499.0,72.0,66812.5,0.0,0,7253.13,0.0,0.0,9037.02,0.0,0.0,high EFT outflows (top 10%),0
53,SYNID0200317046,0.0700685535558793,smallbusiness,CA,unknown,other,unknown,unknown,unknown,unknown,0.0,,727.0,4261,Electrical Work,0.0,0.0,739.0,12.0,0.0,0.0,0,0.0,0.0,0.0,4804.93,0.0,0.0,onboarded <30 days after business founding,0
54,SYNID0107676830,0.06536000357272387,individual,CA,BC,KELOWNA,MALE,Single,64410,Security guards and related security service occupations,9.0,39.4715947980835,12354.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,1.0,78.17,0.0,0.0,0.0,has wire transfers,0
55,SYNID0105060385,0.06469665844540906,individual,CA,ON,TORONTO,MALE,unknown,9201,"Supervisors, processing and manufacturing occupations",0.0,27.329226557152634,670.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,30%+ foreign card transactions,0
56,SYNID0107477605,0.06457938275997005,individual,CA,ON,THUNDER BAY,FEMALE,Single,OTHER,unknown,0.0,22.751540041067763,1923.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,2031.8799999999999,0.0,0.0,78.36,0.0,0.391304347826087,30%+ foreign card transactions,0
57,SYNID0104573393,0.0633868830701602,individual,CA,ON,BURLINGTON,unknown,Single,14102,Personnel clerks,9.0,25.00205338809035,1469.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,8146.92,0.0,0.0,0.0,0.0,0.16666666666666666,,0
58,SYNID0200496198,0.06283583212822297,smallbusiness,CA,BC,NORTH VANCOUVER,unknown,unknown,unknown,unknown,0.0,,3319.0,9821,Business Associations,0.0,261478.0,3408.0,89.0,0.0,0.0,0,0.0,0.0,0.0,22846.63,2.0,0.0,high EFT outflows (top 10%),0
59,SYNID0108747866,0.06239566680047796,individual,CA,unknown,other,FEMALE,Single,OTHER,unknown,76634.0,51.45242984257358,5092.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,1915.5900000000001,0.0,0.0,274.88,1.0,0.15757575757575756,,0
60,SYNID0100727657,0.06182060724218643,individual,CA,ON,MARKHAM,FEMALE,Married,SELF_EMPLOYED,unknown,59365.0,31.51813826146475,1882.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,11612.380000000001,0.0,0.0,1312.82,0.0,0.20270270270270271,high EMT volume (top 10%),0
61,SYNID0101640520,0.06007199066983501,individual,CA,BC,VICTORIA,MALE,Single,STUDENT,unknown,8.0,25.23750855578371,2681.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,1547.29,0.0,0.0,3082.1899999999996,0.0,0.5,student; 30%+ foreign card transactions,0
62,SYNID0106952086,0.05996387273790932,individual,CA,BC,VANCOUVER,MALE,Married,73300,Transport truck drivers,0.0,35.76728268309377,3644.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,24515.26,0.0,0.0,1369.5800000000002,1.0,0.17647058823529413,high EMT volume (top 10%),0
63,SYNID0200906923,0.05909676883172407,smallbusiness,CA,BC,SURREY,unknown,unknown,unknown,unknown,0.0,,844.0,6312,Automobile (Used) Dealers,4.0,0.0,1481.0,637.0,0.0,0.0,0,0.0,0.0,0.0,155.94,82.0,1.0,employees but zero revenue; 30%+ foreign card transactions; high cheque activity (top 10%),0
64,SYNID0104024044,0.05904163868678005,individual,CA,ON,WATERLOO,unknown,Married,7201,"Contractors and supervisors, technical industrial, electrical and construction trades and related workers",86373.0,41.71663244353183,2416.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.14354066985645933,,0
65,SYNID0109892016,0.05821511657717735,individual,CA,QC,LAVAL,FEMALE,Married,SELF_EMPLOYED,unknown,102866.0,75.32648870636551,12239.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,1.0,852.95,306.63,12.0,0.23469387755102042,has wire transfers; high cheque activity (top 10%),0
66,SYNID0100987831,0.057960425125073906,individual,CA,ON,SUDBURY,MALE,unknown,41200,University professors and lecturers,0.0,31.78097193702943,3218.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,1328.1000000000001,0.0,0.0,0.0,0.0,0.5,30%+ foreign card transactions,0
67,SYNID0101594969,0.05770658551114967,individual,CA,MB,BRANDON,FEMALE,Single,63200,Cooks,0.0,23.849418206707735,2451.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,1589.55,0.0,0.0,487.59000000000003,0.0,0.2962962962962963,,0
68,SYNID0200794066,0.0572942365947457,smallbusiness,CA,ON,SCARBOROUGH,unknown,unknown,unknown,unknown,0.0,,3853.0,7611,Insurance and Real Estate Agencies,1.0,0.0,3963.0,110.0,0.0,0.0,0,6550.150000000001,0.0,0.0,0.0,4.0,0.0,employees but zero revenue,0
69,SYNID0200856288,0.053139801576244115,smallbusiness,CA,QC,MONTREAL,unknown,unknown,unknown,unknown,0.0,,,7731,Offices of Chartered and Certified Accountants,2.0,64463.0,4434.0,,32231.5,0.0,0,0.0,0.0,0.0,249.5,4.0,0.5,30%+ foreign card transactions,0
70,SYNID0104838780,0.0529413471322003,individual,CA,ON,TORONTO,MALE,unknown,63100,Insurance agents and brokers,78495.0,,2414.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,9432.67,0.0,0.0,1340.75,3.0,0.17842323651452283,high EMT volume (top 10%),0
71,SYNID0109602889,0.051823314196161284,individual,CA,ON,ETOBICOKE,MALE,Married,11101,Financial and investment analysts,107944.0,34.33538672142368,2736.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,86.92,0.0,0.0,46.39,0.0,0.1891025641025641,,0
72,SYNID0100320080,0.046144141010674725,individual,CA,NB,FREDERICTON,FEMALE,Single,11100,Financial auditors and accountants,0.0,29.557837097878167,1828.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,4734.21,0.0,0.0,729.3399999999999,0.0,0.25,,0
73,SYNID0102853704,0.04588873438729898,individual,CA,ON,TORONTO,unknown,Single,63100,Insurance agents and brokers,92548.0,32.68446269678302,10283.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,5614.99,0.0,0.0,242.7,0.0,0.19642857142857142,,0
74,SYNID0109776271,0.045464623344918534,individual,CA,BC,NORTH VANCOUVER,unknown,Single,63202,Bakers,0.0,,2624.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,7603.43,0.0,0.0,2188.36,0.0,0.23076923076923078,,0
75,SYNID0103426177,0.0451729655077119,individual,CA,NB,FREDERICTON,MALE,Single,73300,Transport truck drivers,0.0,27.890485968514717,1206.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,705.26,0.0,0.0,3774.74,0.0,0.2018348623853211,,0
76,SYNID0109083503,0.044838342380476674,individual,CA,ON,ANCASTER,MALE,Single,11102,Financial advisors,68440.0,32.84599589322382,2976.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,3798.09,0.0,0.0,672.28,12.0,1.0,30%+ foreign card transactions; high cheque activity (top 10%),0
77,SYNID0200339926,0.04428407974503776,smallbusiness,CA,unknown,other,unknown,unknown,unknown,unknown,0.0,,4580.0,8699,Other Health and Social Service Associations and Agencies,5.0,0.0,4621.0,41.0,0.0,0.0,0,0.0,0.0,0.0,17137.2,3.0,1.0,employees but zero revenue; high EFT outflows (top 10%); 30%+ foreign card transactions,0
78,SYNID0107012183,0.04356847179157123,individual,CA,unknown,other,MALE,Single,60010,Corporate sales managers,89642.0,38.450376454483234,9119.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,12034.46,0.0,0.0,0.0,0.0,0.2,high EMT volume (top 10%),0
79,SYNID0200635875,0.04344398857914499,smallbusiness,CA,ON,WATERLOO,unknown,unknown,unknown,unknown,0.0,,791.0,7771,Management Consulting Services,0.0,0.0,832.0,41.0,0.0,0.0,0,3755.3900000000003,0.0,0.0,1668.98,0.0,0.0,,0
80,SYNID0103233499,0.04035237660911341,individual,CA,ON,BRANTFORD,FEMALE,unknown,10019,Other administrative services managers,55096.0,29.111567419575632,2361.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,297.2,0.0,0.0,639.3,0.0,0.25,,0
81,SYNID0104397912,0.03952872398587471,individual,CA,QC,MONTREAL,MALE,Unknown,STUDENT,unknown,10.0,22.417522245037645,1423.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,8589.460000000001,0.0,0.0,4673.2,1.0,0.6666666666666666,student; 30%+ foreign card transactions,0
82,SYNID0104152778,0.03950953629517438,individual,CA,NS,DARTMOUTH,FEMALE,unknown,6531,Cleaners,0.0,27.679671457905545,808.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,9936.990000000002,0.0,0.0,0.0,4.0,0.17777777777777778,high EMT volume (top 10%),0
83,SYNID0107087610,0.03940190524872204,individual,CA,ON,SCARBOROUGH,FEMALE,unknown,OTHER,unknown,48516.0,45.204654346338124,3427.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,14929.08,0.0,0.0,0.0,0.0,0.2,high EMT volume (top 10%),0
84,SYNID0108850119,0.0389499389849752,individual,CA,ON,TORONTO,FEMALE,Single,STUDENT,unknown,10.0,17.60438056125941,6074.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,student; 30%+ foreign card transactions,0
85,SYNID0102647424,0.038415053594811226,individual,CA,ON,SUDBURY,MALE,unknown,10019,Other administrative services managers,0.0,39.31553730321698,776.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,6046.55,0.0,0.0,2453.87,9.0,0.5,30%+ foreign card transactions; high cheque activity (top 10%),0
86,SYNID0104402005,0.038041257995426334,individual,CA,ON,COBOURG,unknown,Single,641,Retail salespersons and non-technical wholesale trade sales and account representatives,66178.0,27.630390143737166,1649.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,12947.130000000001,0.0,0.0,4211.41,1.0,0.2,high EMT volume (top 10%),0
87,SYNID0108181100,0.037560291921726295,individual,CA,MB,WINNIPEG,FEMALE,Unknown,60010,Corporate sales managers,0.0,24.856947296372347,870.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,5493.58,0.0,0.0,3935.08,0.0,0.2857142857142857,,0
88,SYNID0105430242,0.03676121738212907,individual,CA,ON,BOWMANVILLE,MALE,Single,OTHER,unknown,0.0,30.663928815879533,2977.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,2998.75,0.0,0.0,12961.2,0.0,0.0784313725490196,high EFT outflows (top 10%),0
89,SYNID0106918325,0.035367664338324833,individual,CA,ON,KINGSTON,FEMALE,Divorced,7410,Mail and message distribution occupations,63725.0,55.54277891854894,6700.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,3609.52,0.0,0.0,2553.57,0.0,0.20212765957446807,,0
90,SYNID0200906997,0.03521895983180961,smallbusiness,CA,AB,EDMONTON,unknown,unknown,unknown,unknown,0.0,,7768.0,7215,Holding Companies,2.0,0.0,7968.0,200.0,0.0,0.0,0,0.0,0.0,0.0,21996.65,1.0,0.0,employees but zero revenue; high EFT outflows (top 10%),0
91,SYNID0102810118,0.03474280391988433,individual,CA,ON,BELLEVILLE,MALE,unknown,73300,Transport truck drivers,0.0,22.819986310746064,757.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,10711.11,0.0,0.0,0.0,0.0,0.2191780821917808,high EMT volume (top 10%),0
