indicator_id,title,category,ml_tf_stage,plain_english_explanation,ocg_relevance,applicable_tables,required_fields,how_to_use,feature_ideas,caveats_false_positives,external_enrichment_needed,source_ids,last_updated
ABM_CASH_011,Foreign cash activity vs KYC location,Geographic anomaly,Layering,ABM cash transactions in countries different from KYC country can be suspicious (or travel).,"Cross-border cash activity can be used to complicate tracing, especially in OCG cash-out operations.",abm.csv + kyc tables,"customer_id,country,transaction_datetime,cash_indicator",Compute pct_cash_txn_outside_kyc_country; flag sudden increases or sustained foreign cash activity.,pct_cash_outside_country;distinct_countries_30d;change_point,Legitimate travel; relocation; cross-border commuters.,,S_FFIEC_APP_F,2025-12-24
ABM_CASH_012,Cash indicator anomalies (ABM records marked non-cash),Data quality,Any,ABM records that appear inconsistent with cash indicators may signal data issues that weaken monitoring.,Data weaknesses can be exploited by sophisticated laundering; fixing them improves controls.,abm.csv,"transaction_id,cash_indicator,amount_cad,transaction_datetime",Validate that ABM channel matches cash_indicator expectations; flag inconsistent records for remediation.,missingness_x_volume;invalid_cash_indicator_rate,Not an AML signal by itself; it’s a monitoring/data control.,,S_FINTRAC_IND_FE,2025-12-24
TR_VEL_013,"Rapid in-and-out movement (high turnover, low net flow)",Transfers pattern,Layering,"Customer receives credits and quickly sends debits, creating high turnover with little retained value.",Transit accounts are common in professional laundering and mule operations.,eft.csv|emt.csv|wire.csv|cheque.csv|westernunion.csv,"customer_id,amount_cad,debit_credit,transaction_datetime",Compute rolling inflow/outflow and net flow; flag high inflow+outflow with net near zero and short credit→debit lags.,inflow_7d/30d;outflow_7d/30d;net_flow;turnover_ratio;median_lag_credit_to_debit,"Legit pass-through (payroll, bill pay, treasury).",,S_FFIEC_APP_F|S_FATF_PML_2018,2025-12-24
TR_BURST_014,Transaction bursts (many transfers in minutes/hours),Temporal anomaly,Layering,Unusually dense transfer activity in short windows relative to baseline.,Bursts may indicate automated laundering or coordinated mule cash-outs.,eft.csv|emt.csv|wire.csv|cheque.csv|westernunion.csv,"customer_id,transaction_datetime,amount_cad,debit_credit",Compute max count in 10-min/1h windows; z-score vs baseline; flag extreme spikes.,max_txn_10min;max_txn_1h;burstiness_index;interarrival_stats,Batch business processing; payday; emergencies.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
TR_AMTREP_015,Repeated same-amount transfers,Transfers pattern,Layering,Identical transfer amounts repeated unusually often may indicate templated ticket sizes used for laundering.,Professional launderers may standardize amounts across mules for operational simplicity.,eft.csv|emt.csv|wire.csv|cheque.csv|westernunion.csv,"customer_id,amount_cad,transaction_datetime,debit_credit",Compute top amount frequency in 30d and compare to expected; flag high dominance of a single amount.,top_amount_freq_30d;amount_entropy;mode_ratio;pct_round_dollar,Salary/rent/subscriptions are naturally repetitive.,,S_FATF_PML_2018|S_FINTRAC_IND_FE,2025-12-24
TR_MICRO_016,Micro-structuring (many small transfers),Transfers pattern,Layering/TF,Many small-value transfers clustered in time can indicate smurfing or TF micro-funding patterns.,"Small, frequent payments are a known typology when combined with other TF/ML signals.",eft.csv|emt.csv|wire.csv|westernunion.csv,"customer_id,amount_cad,transaction_datetime,debit_credit",Compute small_txn_count in rolling windows for a chosen ‘small’ band; flag high frequency and sudden increases.,small_txn_count_1d/7d;small_txn_share;txns_per_day,Family support; micropayments; gig platforms.,"Define ‘small’ by local context (e.g., <$200) and segment.",S_FFIEC_APP_F|S_FINTRAC_IND_FE,2025-12-24
TR_SPLITOUT_017,One credit → many debits (fan-out),Flow pattern,Layering,"A single inbound credit is followed by multiple outbound debits, dispersing funds quickly.",Fan-out is common in layering to fragment funds across routes and reduce traceability.,eft.csv|emt.csv|wire.csv|cheque.csv,"customer_id,amount_cad,debit_credit,transaction_datetime","Within a window after a credit, count subsequent debits; flag high fan-out and short lags.",fanout_count_24h;fanout_amount_share;median_lag_credit_to_debit,Bill-paying after payday; business supplier payments.,,S_FFIEC_APP_F|S_FATF_PML_2018,2025-12-24
TR_SPLITIN_018,Many credits → one debit (fan-in then cash-out),Flow pattern,Layering,"Multiple inbound credits consolidate into a larger outbound debit, consistent with mule aggregation.",OCGs may aggregate many small deposits then move out in fewer large transfers.,eft.csv|emt.csv|wire.csv|cheque.csv,"customer_id,amount_cad,debit_credit,transaction_datetime",Count credits in the prior window before a large debit; flag high fan-in and large outbound concentration.,fanin_count_24h;credit_concentration;large_debit_share,Marketplace sellers; payroll clearing.,,S_FFIEC_APP_F|S_FATF_PML_2018,2025-12-24
TR_REVERSAL_019,Same-day credit/debit reversals (wash behavior proxy),Temporal anomaly,Layering,Credits and debits of similar size on the same day can indicate wash-like cycling to obscure traces.,Churn patterns can be used to create complexity and noise in audit trails.,eft.csv|emt.csv|wire.csv|cheque.csv,"customer_id,amount_cad,debit_credit,transaction_datetime","For each day, look for paired opposite-direction transactions with similar amounts; count and score.",same_day_pair_count;paired_amount_similarity;daily_churn,"Refunds, error corrections.",,S_FFIEC_APP_F,2025-12-24
TR_CHANNELMIX_020,Multi-rail use in tight sequence (EFT↔EMT↔Wire↔Cheque),Cross-channel,Layering,Using multiple payment rails in a short period increases complexity and may indicate layering.,Professional money launderers often diversify methods to defeat single-channel monitoring.,eft.csv|emt.csv|wire.csv|cheque.csv|westernunion.csv,"customer_id,transaction_datetime,amount_cad,debit_credit",Count distinct products used per 7d/30d; detect sequences of rail switches within N hours.,distinct_rails_30d;rail_switch_count;sequence_features,Some users legitimately use multiple products.,,S_FATF_PML_2018|S_FFIEC_APP_F,2025-12-24
TR_WEEKEND_021,Weekend/holiday-heavy transfers vs baseline,Temporal anomaly,Layering,"A customer’s transfers become concentrated on weekends/holidays unexpectedly, deviating from prior behavior.","Temporal shifts can accompany active laundering phases, especially when co-occurring with velocity signals.",eft.csv|emt.csv|wire.csv|cheque.csv|westernunion.csv,"customer_id,transaction_datetime,amount_cad,debit_credit",Compute weekend_share and change vs baseline; flag sudden shifts.,weekend_share;weekend_shift_score;active_days_weekend,Shift workers; retail businesses; travel.,,S_FINTRAC_IND_FE,2025-12-24
TR_NIGHT_022,Non-business-hours transfers (especially for businesses),Temporal anomaly,Layering,Transfers executed mostly outside typical business hours may be suspicious for business profiles.,OCG-controlled fronts may operate irregularly; timing anomalies can support suspicion.,kyc_smallbusiness.csv + transfers,"customer_id,transaction_datetime,amount_cad,debit_credit",Compute night_share; compare businesses vs peer businesses; flag outliers.,night_share;peer_percentile_by_industry;after_hours_txn_count,Global operations; late settlements.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
TR_OUTLIER_023,Single large transfer outlier vs history,Amount anomaly,Any,A transfer far larger than a customer’s typical history may be suspicious without a reasonable explanation.,Large one-off movements can occur in laundering/integration stages; investigate context.,eft.csv|emt.csv|wire.csv|cheque.csv|westernunion.csv,"customer_id,amount_cad,transaction_datetime,debit_credit",Compute per-customer amount z-score/percentile; flag extreme outliers (both debit and credit).,amount_zscore;max_amount_365d;percentile_amount,"Legitimate asset sale, inheritance, tuition, taxes.",,S_FFIEC_APP_F,2025-12-24
TR_TREND_024,Escalating transfer amounts/volume over time,Trend anomaly,Layering/Integration,A steady increase in transaction volume/amounts can indicate scaling laundering activity.,OCGs may ramp operations as trust is built with facilitators or after controls appear weak.,eft.csv|emt.csv|wire.csv|cheque.csv,"customer_id,amount_cad,transaction_datetime,debit_credit",Fit simple trend over weekly sums; flag steep growth vs peers and baseline.,weekly_sum_slope;growth_rate_30d_vs_90d;change_point,Business growth; seasonal cycles.,,S_FATF_PML_2018,2025-12-24
WU_RISK_025,High remittance frequency/volume (Western Union) vs profile,Channel risk,Layering/TF,High or increasing remittance activity (WU) inconsistent with the customer’s profile can be suspicious.,Money transfer channels can be exploited for layering or TF; context is critical.,westernunion.csv + kyc tables,"customer_id,amount_cad,transaction_datetime,debit_credit,income,sales,country",Compute WU sum/count in windows; compare to income/sales and peers; flag outliers and bursts.,wu_sum_30d;wu_count_30d;wu_to_income_ratio;wu_burstiness,Legitimate family remittances; humanitarian support.,Corridor risk requires receiver country data (not in dataset).,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
CHQ_RISK_026,Cheque activity spikes and churn (credits/debits),Instrument risk,Layering/Integration,Unusual cheque volume or churn (credits and debits) compared to baseline may be suspicious.,Cheque-based schemes can be used to obscure audit trails; use with other indicators.,cheque.csv,"customer_id,amount_cad,debit_credit,transaction_datetime","Compute cheque sums/counts and churn metrics; flag spikes, reversals, and net-zero behavior.",cheque_sum_30d;cheque_count_30d;cheque_churn_index;net_flow_cheque,Business cheque payments; seasonal supplier cycles.,,S_FFIEC_APP_F,2025-12-24
WIRE_RISK_027,Wire transfer spikes/velocity,Instrument risk,Layering,"Unusual wire activity—spikes, rapid in/out, or net-zero behavior—can indicate higher-risk movement.",Wires are commonly used in complex layering; anomalies can be high signal.,wire.csv,"customer_id,amount_cad,debit_credit,transaction_datetime",Compute wire velocity and turnover; flag outliers vs baseline.,wire_inflow_30d;wire_outflow_30d;wire_turnover_ratio;median_lag_credit_to_debit,Legitimate corporate payments.,,S_FFIEC_APP_F,2025-12-24
CARD_ECOMM_028,High e-commerce share (card-not-present heavy),Card behavior,Layering/Fraud-linked,"A large share of card activity is ecommerce, especially if it changes suddenly from prior behavior.",OCGs involved in fraud/scams may generate card-not-present patterns that later cash out.,card.csv,"customer_id,ecommerce_ind,amount_cad,transaction_datetime,debit_credit",Compute ecommerce_spend_share and ecommerce_txn_share; flag high levels or abrupt shifts.,ecomm_share_30d;ecomm_count_30d;ecomm_shift_score,Online-first customers; travel; holidays.,,S_FFIEC_APP_F|S_FINTRAC_IND_FE,2025-12-24
CARD_ECOMM_CASHOUT_029,E-commerce bursts followed by outbound transfers,Cross-channel,Layering,Ecommerce-heavy activity followed by rapid outbound transfers can indicate proceeds movement.,Fraud/OCG proceeds often move quickly after collection events; co-occurrence matters.,card.csv + eft/emt/wire,"customer_id,ecommerce_ind,transaction_datetime,amount_cad,debit_credit","After ecommerce bursts, measure outbound transfer sums within 24–72h; flag repeat patterns.",outbound_sum_72h_after_ecomm;seq_count_ecomm_to_outbound;correlation_ecomm_outflow,Legit online shopping then paying bills.,,S_FFIEC_APP_F,2025-12-24
CARD_GEO_030,Foreign card activity vs KYC country,Geographic anomaly,Layering/TF,"Card transactions in countries different from the customer’s KYC country, especially abruptly, can be suspicious.",Cross-border activity is a common laundering/TF complexity factor when combined with velocity or channel mixing.,card.csv + kyc tables,"customer_id,country,transaction_datetime",Compute pct_card_txn_outside_kyc_country and change-point vs baseline; flag sustained or sudden foreign activity.,pct_outside_kyc_country;distinct_countries_30d;geo_change_score,Legitimate travel; foreign ecommerce.,,S_FFIEC_APP_F,2025-12-24
CARD_MULTI_COUNTRY_031,Rapid multi-country card activity,Geographic anomaly,Layering,Card activity across multiple countries in short windows can be inconsistent with plausible travel patterns.,OCGs may route transactions through multiple jurisdictions; interpret carefully due to ecommerce.,card.csv,"customer_id,country,transaction_datetime,amount_cad",Count distinct countries per 7d; flag high counts or abrupt increases.,distinct_countries_7d;country_switch_rate,Ecommerce can create ‘foreign’ merchant countries.,Card-present vs ecom separation improves precision (ecommerce_ind helps).,S_FFIEC_APP_F,2025-12-24
CARD_LOCAL_032,Out-of-area card activity vs KYC city/province,Geographic anomaly,Layering,A sustained shift away from KYC city/province can indicate mule use or account takeover.,Geographic shifts are commonly cited red flags when inconsistent with client profile.,card.csv + kyc tables,"customer_id,province,city,transaction_datetime",Compute match_rate_to_kyc_city/province; flag sharp decreases and new dominant locations.,pct_outside_kyc_city;pct_outside_kyc_province;location_shift_score,Relocation; commuting; travel.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
CARD_MCC_RISK_033,Spend concentrated in high-risk MCCs (mapping required),Merchant risk,Layering,A high share of spend in merchant categories known to be higher-risk can be suspicious.,OCG ecosystems can use certain merchant categories for cash-out/value transfer.,card.csv,"customer_id,merchant_category,amount_cad,transaction_datetime",Build an MCC risk map; compute risk_mcc_spend_share; flag high shares or sudden spikes.,risk_mcc_share_30d;top_mcc_share_30d;mcc_entropy;mcc_shift_score,"Some customers legitimately spend in certain categories (e.g., travel).",Requires an MCC risk taxonomy appropriate to your institution/region.,S_FFIEC_APP_F,2025-12-24
CARD_MCC_SHIFT_034,Abrupt merchant-category shift,Merchant anomaly,Layering,Customer’s merchant-category mix shifts abruptly (new dominant MCCs) without a plausible reason.,Abrupt behavior change is a common suspicious pattern signal when combined with other red flags.,card.csv,"customer_id,merchant_category,transaction_datetime,amount_cad","Compute rolling MCC distribution and a distance metric (e.g., Jensen–Shannon); flag large jumps.",mcc_jsd_shift;new_mcc_count_30d;top_mcc_change,Lifestyle changes; travel; new job.,,S_FINTRAC_IND_FE,2025-12-24
CARD_SMALL_BURST_035,Many small card debits in short time,Card behavior,Layering/Fraud-linked,"High frequency of small card transactions can indicate testing, scam/fraud patterns, or automated use.",OCG fraud/scam operations often show high-frequency small-ticket patterns before cash-out.,card.csv,"customer_id,amount_cad,transaction_datetime,debit_credit",Define small band; compute small_txn_count_1h/1d and z-score vs baseline; flag extreme bursts.,small_txn_count_1h;small_txn_share_1d;burstiness_index,Micropayments; transit; subscriptions.,,S_FFIEC_APP_F,2025-12-24
CARD_REFUND_036,Unusual volume of card credits/refunds,Card behavior,Layering/Integration,Frequent or large card credits (refunds/returns) can indicate refund fraud or laundering via merchant relationships.,Some laundering and fraud typologies exploit refunds/chargebacks; needs context.,card.csv,"customer_id,debit_credit,amount_cad,transaction_datetime",Compute credit_count and credit_sum; compare to baseline and peers; flag outliers.,card_credit_count_30d;card_credit_sum_30d;credit_to_debit_ratio,Legitimate refunds/chargebacks; returns.,,S_FFIEC_APP_F,2025-12-24
CARD_POST_ONBOARD_037,High card activity soon after onboarding,Lifecycle anomaly,Any,A new customer quickly shows high card volume (especially cross-border or ecommerce).,Burner/mule accounts may show early intense use.,card.csv + kyc tables,"customer_id,onboard_date,transaction_datetime,amount_cad,ecommerce_ind,country",Compute sums/counts in first 7/30 days; compare to peer new customers; flag outliers.,card_sum_0_30d;card_count_0_30d;ecomm_share_0_30d;foreign_share_0_30d,Legitimate relocation; big initial purchases.,,S_FINTRAC_IND_FE|S_FATF_PML_2018,2025-12-24
CARD_NIGHT_038,Nighttime card activity shift,Temporal anomaly,Any,Card activity becomes concentrated at unusual hours for the customer.,Timing anomalies can support suspicion when combined with other patterns.,card.csv,"customer_id,transaction_datetime,amount_cad",Compute night_share vs baseline; flag significant shifts.,night_share;circadian_shift_score,Shift work; travel.,,S_FINTRAC_IND_FE,2025-12-24
CARD_SPEND_MISMATCH_039,Card spend inconsistent with declared income/sales,KYC inconsistency,Any,Card spend levels exceed what is plausible given the customer’s KYC income (individual) or sales (business).,OCGs often use accounts where observed activity doesn’t match declared means.,card.csv + kyc tables,"customer_id,amount_cad,transaction_datetime,income,sales",Compute monthly card spend; compare to income/sales and peers; flag high multiples.,monthly_card_spend;spend_to_income_ratio;spend_to_sales_ratio;peer_percentile,Savings drawdown; corporate card use.,,S_FINTRAC_IND_FE|S_CAN_RISK_ASSESS,2025-12-24
KYC_INCOME_040,Total inflows/outflows inconsistent with individual income,KYC inconsistency,Any,"Total movement of funds (all channels) is far above reported individual income, without a reasonable explanation.",Mismatch between means and activity is a widely used risk signal for third‑party laundering.,kyc_individual.csv + all txn tables,"customer_id,income,transaction_datetime,amount_cad,debit_credit",Compute monthly inflow/outflow across channels and inflow_to_income; flag extreme outliers vs peers/occupation.,monthly_inflow;monthly_outflow;inflow_to_income_ratio;peer_percentile_by_occupation,Asset sales; transfers between own accounts; outdated KYC.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
KYC_SALES_041,Business flow inconsistent with declared sales,KYC inconsistency,Any,Business transaction volume greatly exceeds declared sales or typical peer behavior.,Front companies may be used to co-mingle or move funds beyond their plausible operating scale.,kyc_smallbusiness.csv + txn tables,"customer_id,sales,employee_count,transaction_datetime,amount_cad,debit_credit",Compute (inflow+outflow)/sales; flag outliers and consider employee_count as operating-footprint proxy.,(inflow+outflow)_to_sales;net_flow_to_sales;peer_percentile_by_industry,Rapid business growth; seasonal peaks; stale KYC.,,S_CAN_RISK_ASSESS|S_FINTRAC_IND_FE,2025-12-24
KYC_EMP_042,Business volume inconsistent with employee count,KYC inconsistency,Any,High transaction activity relative to a very small employee count may suggest the business footprint is inconsistent with flows.,OCG fronts may report small footprints while moving large value.,kyc_smallbusiness.csv + txn tables,"customer_id,employee_count,transaction_datetime,amount_cad,debit_credit",Compute volume per employee and compare to peers; flag extreme outliers.,volume_per_employee;peer_percentile_by_industry;employee_outlier_score,Lean businesses; contractors; automation.,,S_CAN_RISK_ASSESS,2025-12-24
KYC_AGE_YOUNG_043,Very young customer with high volume,KYC inconsistency,Any,Customers in very young age bands with unusually high activity can be risk-relevant (depends on context).,Mule recruitment and exploitation of younger individuals is common in OCG ecosystems.,kyc_individual.csv + txn tables,"customer_id,birth_date,transaction_datetime,amount_cad,debit_credit",Compute age; compare volumes within age bands; flag extreme outliers.,age;volume_age_outlier;peer_percentile_by_age_band,Young entrepreneurs; student tuition flows.,,S_FATF_PML_2018|S_EUROPOL_SOCTA_2025,2025-12-24
KYC_AGE_OLD_044,Elderly customer with abrupt high-velocity activity,KYC inconsistency,Any,Older customers with sudden high-velocity transfers can signal scam/fraud proceeds movement or exploitation.,OCGs often exploit vulnerable populations via scams; patterns can resemble laundering cash-out.,kyc_individual.csv + txn tables,"customer_id,birth_date,transaction_datetime,amount_cad,debit_credit",Detect change-point in velocity/volume; flag abrupt shifts in older age bands.,age;velocity_shift_score;turnover_ratio,Legitimate estate planning; medical expenses; family support.,,S_EUROPOL_SOCTA_2025|S_FFIEC_APP_F,2025-12-24
KYC_OCC_045,Occupation mismatch (flows far above occupation peer group),KYC inconsistency,Any,"Activity is extreme compared to others with similar occupation (e.g., low-income roles).",Peer comparisons can highlight implausible activity consistent with third‑party laundering.,kyc_individual.csv|kyc_occupation_codes.csv + txn tables,"customer_id,occupation_code,income,transaction_datetime,amount_cad,debit_credit",Join occupation title; compute peer percentiles by occupation; flag outliers.,peer_percentile_by_occupation;inflow_to_income_ratio;volume_zscore_within_occ,Occupation may be outdated; side businesses.,,S_FINTRAC_IND_FE,2025-12-24
KYC_IND_046,Industry risk + cash intensity (cash-intensive industry outlier),Sector risk,Placement,Businesses in cash-intensive industries showing extreme cash deposit patterns relative to industry peers.,OCGs commonly exploit cash-intensive fronts to mix illicit cash with legitimate revenue.,kyc_smallbusiness.csv|kyc_industry_codes.csv + abm.csv,"customer_id,industry_code,cash_indicator,amount_cad,transaction_datetime,debit_credit",Tag cash-intensive industries (mapping); compute cash intensity vs peers; flag outliers.,cash_deposit_share;abm_cash_sum_30d;peer_outlier_by_industry;round_dollar_rate,Cash-heavy legitimate sectors exist.,Requires a cash-intensive industry map (policy decision).,S_CAN_RISK_ASSESS|S_FINTRAC_IND_FE,2025-12-24
KYC_NEW_BIZ_047,Recently established business with unusually high flows,Lifecycle anomaly,Any,A business with a very recent established_date shows high transaction activity shortly after onboarding.,Shell/front entities may be created and used quickly for laundering and then replaced.,kyc_smallbusiness.csv + txn tables,"customer_id,established_date,onboard_date,transaction_datetime,amount_cad,debit_credit,sales",Compute months_since_established and early-life volume; flag extreme cases vs peers.,months_since_established;volume_0_30d;volume_to_sales_ratio,Startups can scale quickly; fundraising events.,,S_FATF_PML_2018|S_CAN_RISK_ASSESS,2025-12-24
KYC_LOC_048,Transaction geography inconsistent with KYC geography (cross-channel),Geographic anomaly,Any,"Across ABM/card, activity occurs primarily outside the customer’s KYC province/city.",Geographic inconsistencies are a standard red flag when unexplained.,kyc tables + abm.csv/card.csv,"customer_id,province,city,transaction_datetime",Compute location match rates across channels; flag sustained mismatch or abrupt shifts.,pct_outside_kyc_province;pct_outside_kyc_city;location_shift_score,Relocation; travel; ecommerce.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
KYC_COUNTRY_049,Customer shows activity in countries different from KYC country,Geographic anomaly,Any,Customer frequently transacts in countries not aligned with their KYC country.,"Cross-border activity can increase ML/TF risk exposure, especially when combined with velocity or channel mix.",kyc tables + abm/card,"customer_id,country,transaction_datetime",Compute pct_activity_outside_kyc_country and distinct countries; flag spikes or sustained mismatch.,pct_outside_kyc_country;distinct_countries_30d;geo_change_score,Cross-border commuters; travel; foreign ecommerce.,,S_FFIEC_APP_F,2025-12-24
KYC_PROFILE_CHANGE_050,Sudden structural change in behavior (customer ‘regime shift’),Behavioral anomaly,Any,"A customer’s transaction behavior changes sharply (volume, timing, channels, geography) relative to their own history.",OCGs may take over accounts or ‘flip’ usage patterns during laundering campaigns.,all txn + kyc,"customer_id,transaction_datetime,amount_cad,debit_credit","Use change-point tests on volumes, channel counts, geo mix, and timing; flag large shifts.",change_point_volume;change_point_geo;change_point_channel_mix,Life events; new job; business expansion.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
KYC_MARITAL_051,High activity with missing/low-quality KYC attributes (remediation trigger),Data quality,Any,High-activity customers with missing key KYC fields should be flagged for remediation because monitoring quality depends on KYC context.,Poor KYC quality weakens defenses and can be exploited; fixing it improves model performance and explainability.,kyc_individual.csv + txn tables,"customer_id,gender,marital_status,income,onboard_date,transaction_datetime,amount_cad",Create missingness flags and prioritize remediation for high-volume customers.,missing_gender;missing_marital;missing_income;missingness_x_volume,Not an AML typology by itself.,,S_FINTRAC_IND_FE,2025-12-24
