customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date
SYNID0200004631,CA,BC,VANCOUVER,7215,1.0,1.0,2014-08-18,2017-07-28
SYNID0200004651,CA,,other,6541,1.0,0.0,2014-05-15,2014-08-23
SYNID0200005059,CA,,other,4129,0.0,594410.0,2017-11-16,2021-11-17
SYNID0200005125,CA,BC,PORT MOODY,Other,0.0,0.0,2010-08-11,2010-08-15
SYNID0200005169,CA,,other,4021,5.366343177553908,1226423.0,1998-04-23,2001-12-08
SYNID0200005510,CA,,other,2542,5.572521671445907,0.0,2022-11-20,2023-10-03
SYNID0200005514,CA,NS,HALIFAX,4561,1.0,0.0,2024-03-15,
SYNID0200005543,CA,ON,EAST YORK,4219,2.0,352025.0,2011-10-29,2010-08-29
SYNID0200005624,CA,,other,6031,1.0,0.0,2021-06-08,2021-06-17
SYNID0200005642,CA,ON,BRAMPTON,4561,3.0,0.0,2024-09-26,
SYNID0200005684,CA,ON,HAMILTON,0211,1.0,59571.0,2007-02-08,2007-12-01
SYNID0200005735,CA,,other,4411,2.0,0.0,2012-10-18,2014-10-04
SYNID0200005819,CA,,other,4561,2.5770131440493387,0.0,2022-02-18,2022-07-12
SYNID0200005824,CA,ON,AJAX,7292,0.0,0.0,2023-12-07,2023-12-29
SYNID0200005828,CA,ON,THORNHILL,4561,1.0,50234.0,2017-07-19,2019-08-09
SYNID0200005997,CA,,other,4013,2.0,223719.0,2019-12-13,2019-12-27
SYNID0200006191,CA,AB,CALGARY,Other,1.0,6780.0,2020-01-23,2020-06-14
SYNID0200006234,CA,MB,WINNIPEG,9211,2.0,0.0,2024-01-28,2024-11-18
SYNID0200006305,CA,BC,CAMPBELL RIVER,4275,3.0,828764.0,2011-01-02,2013-04-30
SYNID0200006425,CA,,other,7759,,33505.0,2006-09-11,2006-11-28
SYNID0200006504,CA,ON,OTTAWA,7752,,186711.0,2015-10-01,2015-12-17
SYNID0200006570,CA,,other,7215,1.0,,2020-01-31,
SYNID0200006575,CA,AB,EDMONTON,0139,3.0,850450.0,2020-04-19,2021-11-03
SYNID0200006796,CA,,other,7731,0.0,0.0,1995-09-16,
SYNID0200006806,CA,BC,VANCOUVER,8649,1.0,122436.0,2014-07-02,2013-01-20
SYNID0200006850,CA,NB,SAINT JOHN,7739,8.0,0.0,2024-08-29,2024-10-24
SYNID0200006871,CA,ON,OTTAWA,7761,0.0,0.0,2017-01-27,2019-10-27
SYNID0200006976,CA,,other,9942,0.0,0.0,1996-12-20,1996-12-24
SYNID0200007051,CA,AB,CALGARY,4599,3.0,,2002-03-06,2003-02-25
SYNID0200007457,CA,,other,4261,4.0,0.0,2022-02-18,2023-01-29
SYNID0200007554,CA,,other,7761,1.0,0.0,,2023-09-21
SYNID0200007602,CA,BC,SURREY,7215,0.0,0.0,2018-03-15,2018-05-05
SYNID0200007617,CA,QC,other,7215,1.0,0.0,2022-11-17,2023-01-17
SYNID0200007635,CA,ON,OTTAWA,Other,5.0,783388.0,1998-04-23,2001-04-01
SYNID0200007833,CA,BC,VICTORIA,4565,,37992.0,2004-09-04,2022-04-03
SYNID0200007973,CA,ON,TORONTO,4011,1.0,,2022-01-06,2022-09-20
SYNID0200008035,CA,ON,HUNTSVILLE,6561,1.0,176193.0,2018-06-13,2018-09-06
SYNID0200008191,CA,,other,7215,2.0,68483.0,2012-08-04,2012-12-27
SYNID0200008489,CA,ON,TORONTO,4279,1.0,,2018-07-20,2020-04-24
SYNID0200008533,CA,,other,9861,0.0,,2012-05-17,2012-07-05
SYNID0200008622,CA,AB,EDMONTON,Other,1.0,0.0,2020-08-23,2020-08-30
SYNID0200008724,CA,,other,Other,,616473.0,1999-05-05,2013-10-29
SYNID0200008911,CA,,other,0311,1.0,0.0,2021-07-06,2022-12-01
SYNID0200008951,CA,PE,CHARLOTTETOWN,5639,0.0,0.0,2018-04-12,
SYNID0200009106,CA,QC,MONTREAL,4561,1.0,0.0,2021-03-14,2021-09-09
SYNID0200009137,CA,ON,BRAMPTON,Other,1.0,77014.0,2019-12-18,2019-12-31
SYNID0200009367,CA,ON,BRANTFORD,9799,,522403.0,1981-07-29,1992-05-16
SYNID0200009382,CA,,other,7215,0.0,0.0,2013-09-22,2013-12-12
SYNID0200009420,CA,ON,PEMBROKE,9811,1.0,0.0,2020-01-25,2020-02-10
SYNID0200009533,CA,,other,Other,0.0,0.0,2024-09-20,2024-12-27
SYNID0200010049,CA,,other,Other,1.0,,2011-03-20,2019-12-18
SYNID0200010052,CA,,other,9659,2.0,0.0,2015-02-28,2015-06-22
SYNID0200010153,CA,ON,WHITBY,0919,1.0,78886.0,2020-01-27,2020-08-16
SYNID0200010349,CA,,other,7215,0.0,,2008-01-24,2013-05-26
SYNID0200010424,CA,,other,Other,1.0,44348.0,1996-03-24,1999-03-27
SYNID0200010433,CA,BC,VANCOUVER,7215,1.0,0.0,2020-05-17,2020-07-18
SYNID0200010618,CA,BC,SURREY,4241,1.0,178697.0,2015-02-19,
SYNID0200010640,CA,,other,4561,1.0,,1991-10-18,1992-07-12
SYNID0200010662,CA,,other,9861,1.0,128017.0,2009-03-16,2009-06-15
SYNID0200010703,CA,ON,HAMILTON,7611,2.0,0.0,2023-09-11,2023-10-13
SYNID0200010851,CA,ON,TORONTO,Other,0.0,0.0,2009-05-30,2012-08-03
SYNID0200011095,CA,ON,NEWMARKET,7721,1.0,,2017-07-10,2017-03-01
SYNID0200011153,CA,BC,FORT ST. JOHN,4013,1.0,,2023-02-09,2023-07-02
SYNID0200011226,CA,ON,TORONTO,7499,,556677.0,2010-05-26,2017-05-05
SYNID0200011553,CA,AB,EDMONTON,Other,1.0,49256.0,2017-10-06,2024-10-20
SYNID0200011568,CA,ON,BRAMPTON,9111,1.0,0.0,2024-09-24,2024-12-01
SYNID0200011742,CA,NS,DARTMOUTH,9214,0.0,0.0,1988-02-12,2004-03-03
SYNID0200011816,CA,ON,OAKVILLE,9111,,1.0,2008-03-28,2009-11-28
SYNID0200011910,CA,SK,REGINA,7215,0.0,0.0,2008-05-06,2008-11-23
SYNID0200011958,CA,,other,3081,,15205.0,2018-03-22,2020-01-03
SYNID0200011991,CA,ON,OTTAWA,9942,0.0,0.0,2005-10-22,2011-09-09
SYNID0200012071,CA,,other,7292,0.0,0.0,2023-06-17,2023-11-09
SYNID0200012310,CA,AB,EDMONTON,Other,1.0,906046.0,1999-06-29,2011-06-20
SYNID0200012399,CA,AB,CALGARY,8599,1.0,,2020-06-07,2020-09-25
SYNID0200012532,CA,BC,FORT ST. JOHN,5219,2.0,106374.0,2003-06-27,2023-12-12
SYNID0200012646,CA,BC,BURNABY,7292,0.0,0.0,2018-04-19,2018-10-18
SYNID0200012890,CA,ON,STITTSVILLE,7215,2.0,64194.0,2015-12-18,2022-10-22
SYNID0200013069,CA,,other,4229,1.0,0.0,1927-09-11,
SYNID0200013401,CA,ON,BOLTON,8651,1.0,91824.0,2022-04-06,2023-10-28
SYNID0200013494,CA,AB,CALGARY,7771,1.0,0.0,2016-07-18,2016-09-13
SYNID0200013496,CA,,other,4561,1.0,0.0,2022-05-21,2022-09-08
SYNID0200013564,CA,ON,SCARBOROUGH,4219,8.0,835284.0,2021-08-13,2023-11-20
SYNID0200013678,CA,,other,9799,2.0,226506.0,2023-07-09,2023-10-12
SYNID0200013778,CA,ON,BURLINGTON,8666,2.0,490840.0,1997-02-23,1997-05-03
SYNID0200013887,CA,,other,4275,0.0,185985.0,2008-09-01,2012-06-26
SYNID0200013894,CA,AB,EDMONTON,7761,1.0,0.0,2024-03-11,2024-06-21
SYNID0200014269,CA,ON,OAKVILLE,Other,,0.0,2024-10-24,2024-11-01
SYNID0200014318,CA,,other,8651,1.0,0.0,2022-02-13,2022-04-25
SYNID0200014599,CA,ON,BRAMPTON,7292,,0.0,2024-06-11,2024-10-15
SYNID0200014821,CA,BC,VANCOUVER,Other,4.0,159925.0,2008-02-15,2008-09-24
SYNID0200014852,CA,AB,EDMONTON,Other,2.0,100956.0,2022-09-09,2023-10-28
SYNID0200015031,CA,ON,TORONTO,2499,,34066.0,2015-09-12,2015-11-24
SYNID0200015063,CA,,other,4561,,0.0,2023-09-26,2023-10-07
SYNID0200015077,CA,ON,BROCKVILLE,4561,1.0,0.0,,2024-12-19
SYNID0200015187,CA,NL,ST. JOHN'S,7771,40.0,4908040.0,1991-03-16,1992-01-06
SYNID0200015193,CA,ON,BRAMPTON,Other,,0.0,2021-07-18,
SYNID0200015258,CA,ON,STOUFFVILLE,4013,1.0,0.0,2024-09-08,2024-12-11
SYNID0200015286,CA,QC,LAVAL,8653,1.0,287345.0,2007-01-02,2007-03-31
SYNID0200015370,CA,AB,CALGARY,7215,1.0,0.0,2022-08-02,2023-11-30
SYNID0200015409,CA,AB,CALGARY,7215,0.0,0.0,2014-07-05,2014-11-02
SYNID0200015561,CA,ON,NORTH YORK,8653,0.0,1.0,2008-04-16,2008-07-10
SYNID0200015647,CA,ON,HAMILTON,4599,1.0,119053.0,2005-01-25,2005-01-26
SYNID0200015834,CA,ON,TORONTO,8652,1.0,0.0,2011-06-08,2011-10-19
SYNID0200015836,CA,QC,QUEBEC,7721,1.0,33224.0,2006-02-20,2006-11-27
SYNID0200016250,CA,ON,BRAMPTON,9214,2.0,0.0,2024-11-18,2024-12-19
SYNID0200016252,CA,AB,CALGARY,7215,2.0,0.0,2024-11-02,2024-12-25
SYNID0200016393,CA,ON,TORONTO,7499,0.0,198364.0,2007-04-22,2007-08-06
SYNID0200016399,CA,,other,Other,0.0,0.0,2024-07-07,2024-08-17
SYNID0200016594,CA,,other,9111,2.0,0.0,2020-06-19,2020-07-07
SYNID0200016597,CA,ON,CARLETON PLACE,8629,1.0,0.0,2024-12-01,
SYNID0200016849,CA,,other,Other,0.0,0.0,1994-04-17,2004-01-16
SYNID0200017043,CA,BC,CRANBROOK,6011,1.0,539715.0,2010-08-07,2016-06-19
SYNID0200017227,CA,,other,4275,0.0,0.0,2014-01-24,
SYNID0200017287,CA,ON,BROCKVILLE,7759,2.0,0.0,2021-02-12,
SYNID0200017376,CA,BC,SURREY,Other,,0.0,2023-02-28,2023-12-07
SYNID0200017467,CA,ON,THORNHILL,4299,4.0,498761.0,2012-09-11,
SYNID0200017537,CA,ON,MISSISSAUGA,9712,,0.0,2021-06-04,2021-12-28
SYNID0200017743,CA,ON,BRAMPTON,9953,5.0,0.0,2023-07-16,2023-12-02
SYNID0200017800,CA,ON,BROCKVILLE,7771,,0.0,,2021-10-16
SYNID0200017939,CA,ON,SCARBOROUGH,9711,2.0,,2021-07-06,
SYNID0200018020,CA,ON,RICHMOND HILL,9611,1.0,0.0,2018-02-26,2019-09-04
SYNID0200018038,CA,QC,MONTREAL,7771,1.0,0.0,2024-05-21,2024-10-10
SYNID0200018215,CA,ON,ETOBICOKE,Other,1.0,,2020-10-20,2021-06-15
SYNID0200018245,CA,AB,EDMONTON,7771,1.0,115772.0,2021-05-20,2022-07-20
SYNID0200018308,CA,SK,SASKATOON,Other,,118198.0,2019-12-16,2020-08-01
SYNID0200018412,CA,AB,LETHBRIDGE,4275,3.0,448052.0,2021-06-14,2023-04-16
SYNID0200018568,CA,,other,Other,1.0,0.0,2019-08-12,
SYNID0200018603,CA,ON,KITCHENER,7759,1.0,28622.0,2014-02-11,2023-07-10
SYNID0200018616,CA,,other,9799,1.0,0.0,2023-08-28,2023-10-04
SYNID0200018663,CA,QC,BLAINVILLE,4241,3.0,256690.0,,2018-11-02
SYNID0200018872,CA,ON,HAMILTON,6012,1.0,0.0,2024-01-19,
SYNID0200018964,CA,ON,TORONTO,7215,2.0,1.0,2009-01-03,2009-12-21
SYNID0200018995,CA,ON,BELLEVILLE,7215,2.0,0.0,2024-02-12,2024-12-19
SYNID0200018998,CA,,other,7761,2.0,,2022-06-14,2022-09-24
SYNID0200019013,CA,,other,Other,1.0,76109.0,2020-08-05,2023-10-09
SYNID0200019038,CA,,other,4276,1.0,108163.0,2019-11-12,2022-09-20
SYNID0200019105,CA,ON,BARRIE,6412,2.0,0.0,2022-05-08,2023-05-14
SYNID0200019185,CA,,other,7799,1.0,480867.0,2001-04-30,2004-09-23
SYNID0200019234,CA,,other,4226,1.0,419647.0,2017-01-09,2017-11-24
SYNID0200019334,CA,ON,THORNHILL,7292,1.0,159209.0,1990-11-04,1992-11-19
SYNID0200019541,CA,ON,NORTH YORK,7721,,3188976.0,2011-03-13,2012-10-01
SYNID0200019640,CA,,other,4589,1.0,219892.0,2010-03-05,2010-08-23
SYNID0200019996,CA,ON,OAKVILLE,4022,1.0,177534.0,2020-01-23,
SYNID0200020119,CA,ON,TORONTO,7215,,0.0,2019-04-07,2019-04-16
SYNID0200020308,CA,,other,7771,1.0,322312.0,2011-01-09,2011-02-04
SYNID0200020386,CA,NB,MIRAMICHI,7741,1.0,61084.0,2021-09-04,2022-03-12
SYNID0200020394,CA,ON,KITCHENER,7512,,0.0,2017-12-25,2018-01-01
SYNID0200020404,CA,,other,Other,0.0,0.0,2024-05-12,
SYNID0200020495,CA,ON,TORONTO,7512,1.0,0.0,,2022-12-08
SYNID0200020659,CA,ON,CARP,9659,1.0,480639.0,2004-04-24,2011-01-01
SYNID0200020757,CA,BC,KELOWNA,4013,2.0,0.0,2023-03-23,2023-05-20
SYNID0200020904,CA,,other,Other,,1210902.0,2008-06-21,2008-10-01
SYNID0200021083,CA,BC,MISSION,6413,1.0,41369.0,2020-05-22,
SYNID0200021203,CA,ON,HAMILTON,9861,2.0,0.0,2021-03-06,2015-09-25
SYNID0200021406,CA,AB,CALGARY,8651,,0.0,2023-09-26,2023-12-29
SYNID0200021432,CA,ON,WOODBRIDGE,8652,1.0,0.0,2024-09-28,
SYNID0200021454,CA,ON,OTTAWA,7751,1.0,,2005-10-15,2008-01-03
SYNID0200021516,CA,ON,BRAMPTON,8599,0.0,0.0,2021-03-03,2021-04-01
SYNID0200021664,CA,,other,7749,1.0,0.0,2023-09-17,2023-10-30
SYNID0200021719,CA,ON,LONDON,4219,2.0,610443.0,2015-11-29,2016-03-05
SYNID0200021784,CA,AB,ROCKY VIEW COUNTY,7215,0.0,0.0,2017-09-07,2017-12-30
SYNID0200021881,CA,AB,CALGARY,7215,1.0,216848.0,2002-09-24,2002-12-26
SYNID0200022260,CA,QC,MONTREAL,9699,1.0,0.0,2012-08-03,2012-11-20
SYNID0200022272,CA,QC,other,Other,1.0,298557.0,2012-01-16,2012-02-23
SYNID0200022658,CA,ON,KITCHENER,7215,2.0,91080.0,2017-07-05,
SYNID0200022981,CA,ON,ORILLIA,7759,1.0,568090.0,2015-02-28,2015-07-15
SYNID0200022992,CA,ON,ALLISTON,4561,1.0,188627.0,2022-01-26,2022-02-19
SYNID0200023383,CA,ON,TORONTO,4219,1.0,59840.0,2021-10-03,2024-06-18
SYNID0200023435,CA,BC,VANCOUVER,0119,5.0,126615.0,2019-04-10,
SYNID0200023453,CA,AB,EDMONTON,9861,4.0,0.0,2023-04-16,2023-12-21
SYNID0200023512,CA,AB,LETHBRIDGE,4275,0.0,178488.0,2015-07-30,2016-05-20
SYNID0200023676,CA,ON,BRAMPTON,Other,1.0,291566.0,2013-11-02,2013-11-21
SYNID0200023678,CA,QC,QUEBEC,7599,1.0,0.0,2022-06-13,2022-11-10
SYNID0200023834,CA,,other,4013,5.0,465938.0,1985-08-26,2002-06-28
SYNID0200024058,CA,ON,STITTSVILLE,0711,1.0,112412.0,2022-02-08,2022-06-24
SYNID0200024145,CA,BC,SURREY,7752,0.0,0.0,2017-03-11,2017-09-23
SYNID0200024174,CA,,other,7215,,0.0,2012-10-09,
SYNID0200024351,CA,,other,7599,1.0,,2012-10-30,2012-11-20
SYNID0200025037,CA,,other,8666,1.0,0.0,2022-09-28,2022-10-27
SYNID0200025229,CA,ON,STOUFFVILLE,8651,2.0,0.0,2023-11-23,2023-11-30
SYNID0200025323,CA,,other,9999,0.0,,1991-10-18,1992-10-12
SYNID0200025474,CA,QC,LAVAL,8633,1.0,121374.0,2013-05-17,2013-11-27
SYNID0200025554,CA,,other,9712,0.0,0.0,1999-11-11,2016-10-05
SYNID0200025569,CA,ON,OTTAWA,6391,2.0,151756.0,2019-08-29,2019-11-19
SYNID0200025657,CA,BC,CAMPBELL RIVER,4581,2.0,361767.0,2005-04-20,2020-07-19
SYNID0200025988,CA,NS,HALIFAX,8652,1.0,283708.0,2017-03-25,
SYNID0200026055,CA,ON,MISSISSAUGA,4241,1.0,0.0,2020-09-01,2020-09-29
SYNID0200026070,CA,,other,6391,,33017.0,1996-03-27,2023-06-23
SYNID0200026083,CA,MB,WINNIPEG,7749,2.0,315531.0,2022-06-27,2022-09-19
SYNID0200026135,CA,,other,9942,2.0,,2014-09-13,2014-10-06
SYNID0200026241,CA,QC,BLAINVILLE,7739,1.0,0.0,2019-11-09,2020-11-11
SYNID0200026248,CA,ON,TORONTO,0219,1.0,0.0,2024-04-24,2024-11-16
SYNID0200026303,CA,,other,9213,1.0,0.0,2019-06-19,2019-11-07
SYNID0200026502,CA,ON,TORONTO,8651,1.0,63842.0,2018-08-05,2018-11-04
SYNID0200026611,CA,ON,OTTAWA,9712,1.0,,2024-12-02,2024-12-26
SYNID0200026722,CA,ON,MARKHAM,7722,0.0,,2023-08-06,2023-08-31
SYNID0200027423,CA,BC,NEW WESTMINSTER,4561,1.0,21343.0,2007-03-15,2008-07-27
SYNID0200027495,CA,NS,other,4112,1.0,0.0,1999-12-08,1999-06-26
SYNID0200027513,CA,AB,EDMONTON,9699,1.0,0.0,2024-09-24,2025-07-08
SYNID0200027516,CA,BC,VANCOUVER,9659,5.0,,2021-11-12,
SYNID0200027770,CA,BC,KELOWNA,6351,2.2238912159697954,127807.0,2015-11-18,2015-11-22
SYNID0200027982,CA,ON,GUELPH,4564,0.0,179237.0,2009-02-18,2013-09-02
SYNID0200027994,CA,ON,TORONTO,9712,0.0,0.0,2005-02-06,2006-12-09
SYNID0200028035,CA,ON,WINDSOR,9841,1.0,0.0,2020-11-13,2021-01-28
SYNID0200028145,CA,BC,NORTH VANCOUVER,7215,1.0,6408.0,,2012-08-05
SYNID0200028424,CA,ON,OSHAWA,9211,1.0,182022.0,2012-08-21,2012-08-24
SYNID0200028784,CA,,other,Other,0.0,0.0,,2025-02-24
SYNID0200029047,CA,BC,SURREY,Other,1.0,0.0,2020-10-17,2021-05-06
SYNID0200029336,CA,ON,GUELPH,8652,1.0,,2016-04-02,2016-07-12
SYNID0200029730,CA,SK,SASKATOON,7611,1.0,173396.0,2011-09-12,
SYNID0200029731,CA,ON,BRANTFORD,4561,1.0,45599.0,2022-03-21,2022-03-29
SYNID0200030015,CA,ON,LONDON,7292,,21601.0,2021-10-09,
SYNID0200030089,CA,ON,NEWMARKET,7215,1.0,422052.0,2017-11-05,2017-12-12
SYNID0200030174,CA,,other,5799,2.0,,2004-02-06,2013-05-11
SYNID0200030198,CA,BC,KELOWNA,Other,,110816.0,2005-09-18,2007-09-13
SYNID0200030315,CA,ON,HAMILTON,9931,2.0,0.0,2020-04-19,2022-12-16
SYNID0200030338,CA,ON,OTTAWA,9959,2.0,205673.0,2022-07-21,2024-01-24
SYNID0200030634,CA,,other,4799,4.0,720283.0,2009-12-28,2011-11-11
SYNID0200030734,CA,ON,TORONTO,4999,2.0,954206.0,2011-12-08,2019-06-27
SYNID0200030963,CA,AB,EDMONTON,7771,1.0,,2021-12-26,
SYNID0200031130,CA,BC,NORTH VANCOUVER,8671,1.0,0.0,2023-09-05,2023-11-22
SYNID0200031324,CA,AB,SHERWOOD PARK,7215,0.0,,2019-09-08,2019-12-02
SYNID0200031404,CA,,other,7759,1.0,123815.0,2009-07-12,2009-08-20
SYNID0200031474,CA,QC,MONTREAL,6311,20.0,7976083.0,2014-11-20,
SYNID0200031567,CA,,other,9821,1.0,213758.0,2003-10-31,2004-03-19
SYNID0200031604,CA,QC,MONTREAL,Other,0.0,0.0,2024-02-09,2024-05-15
SYNID0200031834,CA,ON,AURORA,7799,0.0,131507.0,2002-03-23,2002-06-14
SYNID0200031873,CA,BC,SURREY,Other,2.0,1366263.0,2003-03-10,2023-06-05
SYNID0200031915,CA,ON,AJAX,7215,0.0,0.0,2017-06-01,2022-02-17
SYNID0200031989,CA,,other,4299,0.0,0.0,2022-03-31,2022-10-10
SYNID0200032031,CA,ON,OTTAWA,4581,1.0,0.0,2024-01-18,2024-12-11
SYNID0200032033,CA,,other,4411,1.0,0.0,,2019-08-07
SYNID0200032135,CA,,other,7511,1.0,0.0,2020-08-20,2021-07-28
SYNID0200032503,CA,,other,Other,1.0,0.0,2023-01-10,2023-10-10
SYNID0200032592,CA,,other,7511,0.0,0.0,2017-10-21,2017-11-16
SYNID0200032644,CA,,other,9811,2.0,40858.0,2006-10-25,2017-02-26
SYNID0200032709,CA,ON,BRAMPTON,0139,1.0,1.0,2020-09-25,2020-11-27
SYNID0200032718,CA,ON,TORONTO,Other,8.0,1276389.0,1998-05-16,1998-03-16
SYNID0200032724,CA,,other,4275,2.0,454211.0,2001-01-04,2001-12-12
SYNID0200032850,CA,,other,7771,,0.0,2015-06-08,2015-08-31
SYNID0200032918,CA,ON,TORONTO,3999,1.0,,2014-05-11,2014-09-09
SYNID0200033144,CA,ON,BOWMANVILLE,7721,0.0,0.0,2015-02-26,2015-07-17
SYNID0200033166,CA,ON,SCARBOROUGH,Other,2.0,0.0,2023-08-10,2023-09-24
SYNID0200033241,CA,ON,OAKVILLE,7421,1.0,3528149.0,2010-04-21,
SYNID0200033301,CA,ON,SARNIA,Other,0.0,288363.0,2014-02-04,2014-05-17
SYNID0200033452,CA,ON,BRAMPTON,4561,1.0,1.0,2006-10-21,2020-06-17
SYNID0200033825,CA,,other,0919,0.0,0.0,1999-04-23,2010-09-15
SYNID0200033829,CA,QC,LAVAL,0219,2.0,62960.0,2014-02-22,2016-10-13
SYNID0200033993,CA,BC,VANCOUVER,Other,6.0,679442.0,2016-04-08,2016-10-31
SYNID0200034232,CA,,other,7759,1.0,0.0,2008-04-08,2008-12-07
SYNID0200034603,CA,,other,Other,0.0,,1982-04-26,
SYNID0200034670,CA,MB,WINNIPEG,7215,1.0,133733.0,2004-06-24,2004-11-09
SYNID0200034787,CA,AB,EDMONTON,Other,5.0,1043835.0,2022-05-20,2022-06-24
SYNID0200034847,CA,,other,9712,,9299.0,2008-08-14,2008-09-07
SYNID0200034923,CA,AB,CALGARY,7292,1.0,121764.0,2016-04-08,2016-10-19
SYNID0200035124,CA,,other,7215,0.0,0.0,2009-12-14,2009-12-29
SYNID0200035130,CA,ON,BROCKVILLE,4214,1.0,0.0,2023-04-01,2023-11-03
SYNID0200035137,CA,AB,EDMONTON,7599,0.0,0.0,1996-02-21,1996-03-15
SYNID0200035208,CA,AB,EDMONTON,7215,,444777.0,2019-02-26,2020-05-25
SYNID0200035231,CA,QC,MONTREAL,0141,1.0,439989.0,1996-11-30,1999-09-25
SYNID0200035629,CA,ON,BRAMPTON,9811,0.0,0.0,,2010-10-11
SYNID0200035832,CA,,other,7215,1.0,,1984-03-10,
SYNID0200035881,CA,AB,EDMONTON,7799,1.0,336660.0,,2012-08-19
SYNID0200035891,CA,BC,RICHMOND,4241,2.0,79942.0,1983-08-21,
SYNID0200035920,CA,BC,SURREY,9811,1.0,259892.0,2010-04-29,2018-01-22
SYNID0200036053,CA,NL,ST. JOHN'S,7761,0.0,,2005-03-04,2008-06-20
SYNID0200036127,CA,ON,BARRIE,7215,0.0,0.0,2016-12-13,2007-10-07
SYNID0200036170,CA,AB,EDMONTON,7761,1.0,32558.0,2019-08-30,2019-09-05
SYNID0200036272,CA,,other,4013,5.0,0.0,2024-08-12,2024-10-28
SYNID0200036380,CA,,other,9712,2.0,0.0,2024-09-01,2024-11-15
SYNID0200036529,CA,BC,CRANBROOK,7771,0.0,435520.0,2011-01-04,2015-02-02
SYNID0200036910,CA,,other,7742,1.0,0.0,2024-02-04,2024-07-18
SYNID0200037052,CA,QC,LONGUEUIL,7215,6.0,2206473.0,1988-11-10,2001-11-28
SYNID0200037228,CA,ON,BARRIE,7771,2.0,93746.0,2015-06-08,2015-06-22
SYNID0200037290,CA,ON,SUDBURY,6031,1.0,,2019-01-17,2019-06-12
SYNID0200037329,CA,,other,4561,20.0,2012845.0,,2015-06-22
SYNID0200037490,CA,ON,MISSISSAUGA,8653,5.0,598598.0,2015-08-28,2018-11-18
SYNID0200037697,CA,,other,4231,1.0,478069.0,2016-12-13,2016-12-25
SYNID0200037978,CA,AB,OKOTOKS,7292,1.0,5050183.0,2013-06-29,2019-11-18
SYNID0200038140,CA,,other,9211,0.0,,2021-10-17,2024-09-27
SYNID0200038160,CA,BC,NORTH VANCOUVER,7752,1.0,0.0,2023-11-01,2023-12-16
SYNID0200038667,CA,ON,TORONTO,8641,1.0,0.0,2022-09-15,2024-03-27
SYNID0200038754,CA,QC,GATINEAU,Other,0.0,180825.0,2015-01-27,2017-03-13
SYNID0200038841,CA,ON,TORONTO,7771,1.0,118462.0,2015-08-03,2015-11-17
SYNID0200038909,CA,ON,KITCHENER,9861,1.0,61149.0,2021-06-03,2021-10-18
SYNID0200038936,CA,AB,EDMONTON,7215,0.0,0.0,2013-04-19,2013-05-17
SYNID0200039090,CA,,other,7215,2.0,250862.0,2005-09-02,2009-05-13
SYNID0200039372,CA,,other,9931,1.0,162622.0,2014-09-06,
SYNID0200039594,CA,,other,7799,1.0,0.0,2015-09-04,2015-09-24
SYNID0200039691,CA,BC,RICHMOND,7752,1.0,3363.0,2019-11-02,2019-12-07
SYNID0200039736,CA,ON,TORONTO,7799,2.0,0.0,2016-04-11,2016-11-16
